gene_id,Groups,Category,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54
,,,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor
ER,,,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Pos,Pos,Pos,Pos,Pos,Pos,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Pos,Pos,Pos,Neg,Neg,Neg,Neg,Neg,Neg
PR,,,Neg,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos,Neg,Pos
HER,,,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Pos,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg,Neg
cpg1,Group,D1,0.708215171,0.611252565,0.643484434,0.745933,0.809076031,0.702598563,0.544219616,0.48475181,0.760707588,0.603359875,0.514092663,0.679885273,0.650255368,0.618726609,0.542197981,0.620132436,0.621760261,0.369690326,0.502699496,0.645074035,0.614791142,0.690499795,0.473314133,0.601974422,0.634110071,0.602731996,0.479331275,0.425391048,0.582117065,0.62525161,0.420919897,0.914956693,0.433215651,0.596928469,0.614266334,0.843723865,0.340940589,0.44791028,0.259921235,0.163874669,0.472227085,0.537490743,0.484738146,0.341591815,0.627692257,0.699151227,0.517080695,0.208264376,0.444365371,0.227914253,0.568794111,0.662018707,0.156771977,0.030926109
cpg2,Group,D1,0.811101078,0.847717779,0.886013008,0.795025098,0.897978418,0.899898149,0.854567039,0.816237822,0.87105175,0.843902072,0.885636046,0.854964062,0.887944479,0.888905365,0.866940068,0.889548486,0.847062747,0.867542087,0.857469735,0.868457965,0.831113901,0.876114378,0.866805834,0.884300275,0.844366489,0.835494126,0.827144092,0.651345553,0.835075433,0.884144687,0.754572594,0.726132276,0.789957499,0.668809866,0.771296065,0.731182372,0.840308292,0.89469311,0.843435715,0.671453841,0.866526122,0.832686823,0.762699184,0.571943966,0.828116709,0.735251205,0.445641676,0.618576662,0.803330047,0.762250991,0.730855363,0.752176306,0.70422572,0.289210704
cpg3,Group,D1,0.306052755,0.375945006,0.335487906,0.175570107,0.230780795,0.431221394,0.409275439,0.274816857,0.345367276,0.376420799,0.380010887,0.432731656,0.474936043,0.414737201,0.29756467,0.492891587,0.414458903,0.470176365,0.337194626,0.34337121,0.460265122,0.451878154,0.244671259,0.341826768,0.344316173,0.470871384,0.271154071,0.243763133,0.406925587,0.212123075,0.059494157,0.159474686,0.153143642,0.159392442,0.150624889,0.214524113,0.159908541,0.153311698,0.170041053,0.054753072,0.276799563,0.047904154,0.052175541,0.045589421,0.09607958,0.035249946,0.093694228,0.077406914,0.174776075,0.194054332,0.068577046,0.108452323,0.071660487,0.033105627
cpg4,Group,D1,0.613604833,0.639413441,0.572143723,0.528660898,0.601748705,0.545451131,0.512753689,0.518480883,0.616504603,0.51903957,0.572280185,0.511588712,0.550993125,0.555270795,0.396294936,0.375180461,0.489918057,0.491812489,0.459826744,0.553126948,0.479302494,0.600819348,0.501382548,0.566484421,0.577866742,0.590468787,0.313922165,0.516100834,0.537920625,0.65051976,0.805900473,0.636511724,0.467363189,0.713307726,0.685931303,0.595033893,0.608338782,0.509435879,0.668082986,0.756041414,0.664141287,0.38423771,0.870772046,0.721717714,0.753600977,0.497789385,0.787608971,0.406603482,0.432106695,0.699217142,0.511150915,0.689829333,0.471988354,0.062432111
cpg5,Group,D1,0.029863677,0.041834787,0.032227054,0.061198938,0.098873145,0.027408606,0.035556303,0.019886007,0.026567614,0.046078733,0.024270742,0.037834023,0.066943142,0.033380476,0.034147966,0.049640202,0.034845143,0.027910824,0.023183967,0.029208747,0.039183008,0.079342411,0.026654687,0.033797154,0.047962982,0.063065455,0.039969659,0.270740837,0.027011336,0.34413587,0.046737354,0.482830651,0.028513623,0.082084126,0.022536373,0.050794664,0.456176156,0.430768516,0.024912589,0.037110958,0.027130879,0.032027288,0.012761845,0.081466592,0.104882257,0.052113235,0.085927568,0.077603373,0.056511466,0.020426292,0.181313153,0.024799623,0.02070847,0.019962858
cpg6,Group,D1,0.988698887,0.982103027,0.98945426,0.988176266,0.985856739,0.991013402,0.987679623,0.985666929,0.987034503,0.984853429,0.981762421,0.983774978,0.986690124,0.98826389,0.983828895,0.985190252,0.987539498,0.986926334,0.988592309,0.985623806,0.987794101,0.986244185,0.987019471,0.98920718,0.986800933,0.988740651,0.920794947,0.866382904,0.985245595,0.98904166,0.989597906,0.983302909,0.988775076,0.988261412,0.986584331,0.985052938,0.989190586,0.986365173,0.983440837,0.984856693,0.984728651,0.986478711,0.982594308,0.987925131,0.983482512,0.989648828,0.986230073,0.984858881,0.986022627,0.987082131,0.981152166,0.796029311,0.970445221,0.153034537
