gene_id,Groups,TCGA.BH.A1EV,TCGA.BH.A1F8,TCGA.BH.A1F0,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FH,TCGA.BH.A203,TCGA.BH.A1EU,TCGA.BH.A1FM,TCGA.BH.A1FR,TCGA.BH.A1EW,TCGA.BH.A208,TCGA.BH.A1FJ,TCGA.BH.A1EN,TCGA.BH.A1FN,TCGA.BH.A1FE,TCGA.BH.A1ET,TCGA.BH.A204,TCGA.BH.A1EO,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A1FB,TCGA.BH.A1FG,TCGA.BH.A209
 , ,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Early,Late,Late,Late,Late,Late,Late,Late,Late
ENSG00000005102.11,na,0.026759739,0.268195749,3.225968755,3.412900962,1.372425375,0.028713201,3.414570534,0.853133094,2.924828921,0.136137826,1.262256891,2.703367029,0.46490758,0.313214241,0.229921217,0.011953105,2.105326187,1.713664549,0.32645365,1.178643444,1.000980533,0.264661486,2.286010613,0.866924937,1.683797477
ENSG00000196405.11,na,5.752073923,2.658745587,2.881412156,7.981868914,3.118326089,1.953910089,4.110651145,3.993246515,5.35958271,5.701106746,5.66804185,2.807737998,2.978570375,2.977378273,2.130486165,3.300859819,3.419403068,5.216545489,4.547157929,3.679379152,2.565876344,2.889882503,4.374307342,4.727902118,3.092536387
ENSG00000141750.6,na,1.900505409,0.03812533,4.68476174,1.291662662,0.061718872,0.011628392,5.093991377,1.367105749,2.717306136,0.050206506,1.669333544,1.344318577,1.953885038,0.041351321,1.612189747,0.840329126,0.728842086,1.276336359,0.030492982,0.161317851,5.981065139,0.051062812,5.674687555,1.551285901,0.069688111
ENSG00000020633.17,na,1.587678903,0.881034442,3.217812869,0.808713545,1.432046667,1.356711582,1.872422783,2.096189848,2.837321527,1.065161681,2.064604805,2.922808431,3.035727137,0.608713656,0.767134093,1.410398973,2.904270133,1.658205204,0.446705533,1.734428328,2.611660218,3.971355285,3.311392907,0.875063802,3.410326245
ENSG00000154153.12,na,2.64160396,4.791515007,2.407228236,5.023984713,3.540191256,3.686683465,3.962233006,1.63446638,4.246525814,5.278669015,4.207090253,2.785413119,0.959781501,4.312016949,0.572502047,2.782782849,2.299538401,4.559984949,5.271336502,2.873291145,1.87690594,0.598127036,3.01467889,3.520069753,3.163767502
ENSG00000170035.14,na,2.404824741,2.602764711,4.371812482,1.864860004,4.249678752,3.129521536,3.981409349,3.430261388,3.590649371,4.130871094,2.194506306,3.417602361,3.945944801,1.779578447,3.20227648,4.649880293,4.387690725,2.423425461,1.965554383,4.410371377,4.227185568,4.431947138,4.26544982,1.827076325,4.896955247
ENSG00000275301.1,na,2.437809564,0.260469426,2.550481408,7.52999948,0,1.033127557,1.319184084,0.777837627,5.542703909,0.754355935,2.714874021,4.474342789,0,0,0,1.028178617,1.357904975,1.844987696,2.597123722,0,0.776414048,1.395358011,1.193184815,5.4045039,3.517573954
ENSG00000211664.2,na,0.581934163,1.329474587,2.219982579,0.234510298,0.050632674,0.101311573,4.161204206,2.051754203,1.364488642,0.110476617,1.940069798,1.352450761,2.72844241,0.103908866,0.250320405,0.08436035,2.008016876,2.28035903,0,0.511370284,2.077669877,1.938783772,2.252161704,0.689369439,7.322660068
ENSG00000103569.8,na,0.640389864,0.28999989,3.258628555,0.071783607,1.372871579,2.244415661,0.265102795,2.133681055,2.297494346,1.921381316,0.021351476,1.520506875,0.513382039,0.175695919,0.519759665,2.866601887,0.282056082,0.104175528,0.393928782,2.368489076,2.958842922,1.874899513,0.321801274,0.612393274,1.595989369
ENSG00000105523.3,na,3.488000784,0.285319575,2.044689265,2.947651302,1.275565193,2.081640424,1.219465254,0.085721489,0.315842344,0.596427083,0.106064235,2.075959778,2.458151568,0.10001869,4.853106682,0.522414481,0.049844523,3.291495202,1.859471838,1.195137824,0.381076863,1.390905893,2.160939236,2.571983269,0.031296697
ENSG00000152669.8,na,3.281254701,0.270446756,0.173786042,1.221538185,2.785129402,4.857106489,1.297655359,1.280510879,2.478927575,1.434538614,4.157927198,1.82752156,0.475750081,0.137974848,0.077025385,0.988063168,1.502023511,2.272287927,1.930917077,0.678963506,0.173859067,0.425626869,0.973126242,0.161183209,3.620319121
ENSG00000124491.14,na,4.147906623,3.298032334,5.08973176,2.074750489,3.96249504,3.893845856,5.340523196,2.414414439,5.294785973,3.42174508,2.54819547,4.585594389,4.316357159,2.566117024,1.735453698,1.821895849,4.337604423,3.502637484,2.490013554,5.104473734,3.642159512,1.301966122,5.217566455,2.264161505,3.237950605
ENSG00000184979.9,na,2.23192028,3.632913507,4.40782394,1.044035304,2.028885916,3.446814757,2.722912676,2.217401362,2.256817514,1.458159819,1.75651336,3.615521703,1.675181568,3.721126209,2.766548471,3.955455722,3.035672772,1.689800624,1.2527921,2.04045897,3.831143583,3.16774132,1.766647677,3.069784781,4.256378084
ENSG00000011465.15,na,5.952362916,6.0286621,6.342980645,4.097771252,7.07110246,5.864773662,7.175211095,4.537664939,7.127838666,5.91901318,3.937993192,5.857362176,7.956822923,4.614835657,4.972292103,5.027437841,6.552471593,5.821411842,4.701308897,7.293868107,5.08694072,4.601539453,6.861221228,4.593667075,5.052455853
ENSG00000211642.2,na,2.019572164,0.508775539,4.772423933,0.124896866,0.197109347,0,3.854596542,1.909615188,1.488070832,0,1.215029461,0.804167014,0.881096402,2.615186406,0,0.318241093,0.393043502,3.418896336,0,0,1.099323486,5.677860484,2.430652808,2.049078725,1.762647953
ENSG00000159231.5,na,4.238459594,1.890063273,3.875573753,2.789783515,3.614097451,4.321348416,2.001778612,3.186700838,2.820324381,2.339462754,1.912431467,2.80312856,3.262211299,3.958914681,4.646920489,2.001952836,3.132247661,3.086757927,1.019217627,2.108278944,2.593110616,4.912446647,2.0229636,2.020533548,4.050793698
ENSG00000206075.12,na,0.59078183,1.279098509,2.297181008,0.492013108,0.350166036,1.158952857,4.45835223,0.689883292,1.329427336,3.064797859,0.650206873,0.973311785,4.944148653,1.445235644,3.039340068,1.407280734,2.503029555,0.964854254,0.003752722,1.118588542,3.432825191,0.142455903,3.339429199,0.566391227,1.027442766
ENSG00000138135.6,na,0.32249375,0.580960314,2.435045693,0.881125964,2.863019103,0.529852624,3.105892065,1.169189853,2.497753421,0.621476175,2.01676507,3.511284919,2.060353018,0.291185301,0.23453219,0.891344311,2.886628316,1.699920832,0.578108094,1.846016549,2.201721613,0.423577888,3.131347809,0.916698891,1.286390947
ENSG00000092068.17,na,5.627780259,4.931913053,2.807763475,5.417862672,4.12787327,5.067106249,4.831133416,4.694106922,4.135310262,5.714812956,4.676688339,4.398038093,3.535806518,5.278350815,3.438110194,3.07200015,5.390320531,5.105726821,6.130671773,4.014698592,2.811714129,1.944184798,5.408739945,5.920226492,3.353059595
ENSG00000149212.9,na,1.584404864,2.654125562,3.770106334,3.572342407,2.899818568,1.268991684,4.75825168,1.969959107,3.952176555,1.790584554,5.370964481,2.329549744,3.646411406,1.399959356,1.219848945,3.065615707,3.540651687,4.645496626,1.069004196,3.034674093,1.577707577,1.907784764,4.310504796,2.566334401,1.963290428
ENSG00000100368.12,na,0.958013146,0.868453558,3.670696612,1.046925353,1.484452679,1.528823424,2.90381779,1.919791617,3.057880943,1.173812816,1.840149668,3.368059491,1.518531818,0.923399227,1.062428553,1.012901815,3.274547649,1.708672186,0.859649866,2.354849689,2.676619448,2.054961106,3.369155949,1.027583339,3.211599381
ENSG00000180447.6,na,3.69834127,3.309907659,3.901540418,1.305166982,3.75577742,3.573995709,4.599063009,2.857723462,4.020002631,3.829730283,1.708933899,1.580594717,5.030388204,2.162778815,2.052526912,3.376369307,4.104344603,2.885429034,1.22820971,4.598394284,3.625544506,4.083164906,4.615729776,1.836618012,2.448453669
ENSG00000276775.1,na,0.165471812,1.01279198,3.688116582,0.560635705,0,0.091187513,1.567773187,0.333299606,2.023010762,0.050591022,1.420709131,1.706666933,2.388638301,0,0.048217615,0.404955959,2.121090775,0.834271435,0,0.652881388,0.874512883,5.91823328,2.073378338,1.384937007,2.966488892
