gene_id,Groups,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FJ,TCGA.BH.A1FM,TCGA.BH.A204,TCGA.BH.A1F0,TCGA.BH.A1F6,TCGA.BH.A1FB,TCGA.BH.A1FC,TCGA.BH.A203,TCGA.BH.A208,TCGA.BH.A209
,,1,1,1,1,1,1,2,2,2,2,2,2,2
Clinical,,Early,Early,Early,Early,Early,Late,Early,Late,Late,Late,Early,Early,Late
Subtype,,LumB,LumB,LumB,LumB,LumB,LumB,Basal,Basal,LumA,Basal,Her2,Her2,LumB
ENSG00000005102.11,na,3.412900962,1.372425375,0.028713201,0.313214241,0.136137826,0.32645365,3.225968755,1.000980533,2.286010613,0.264661486,0.853133094,0.46490758,1.683797477
ENSG00000196405.11,na,7.981868914,3.118326089,1.953910089,2.977378273,5.701106746,4.547157929,2.881412156,2.565876344,4.374307342,2.889882503,3.993246515,2.978570375,3.092536387
ENSG00000141750.6,na,1.291662662,0.061718872,0.011628392,0.041351321,0.050206506,0.030492982,4.68476174,5.981065139,5.674687555,0.051062812,1.367105749,1.953885038,0.069688111
ENSG00000020633.17,na,0.808713545,1.432046667,1.356711582,0.608713656,1.065161681,0.446705533,3.217812869,2.611660218,3.311392907,3.971355285,2.096189848,3.035727137,3.410326245
ENSG00000154153.12,na,5.023984713,3.540191256,3.686683465,4.312016949,5.278669015,5.271336502,2.407228236,1.87690594,3.01467889,0.598127036,1.63446638,0.959781501,3.163767502
ENSG00000170035.14,na,1.864860004,4.249678752,3.129521536,1.779578447,4.130871094,1.965554383,4.371812482,4.227185568,4.26544982,4.431947138,3.430261388,3.945944801,4.896955247
ENSG00000275301.1,na,7.52999948,0,1.033127557,0,0.754355935,2.597123722,2.550481408,0.776414048,1.193184815,1.395358011,0.777837627,0,3.517573954
ENSG00000211664.2,na,0.234510298,0.050632674,0.101311573,0.103908866,0.110476617,0,2.219982579,2.077669877,2.252161704,1.938783772,2.051754203,2.72844241,7.322660068
ENSG00000103569.8,na,0.071783607,1.372871579,2.244415661,0.175695919,1.921381316,0.393928782,3.258628555,2.958842922,0.321801274,1.874899513,2.133681055,0.513382039,1.595989369
ENSG00000105523.3,na,2.947651302,1.275565193,2.081640424,0.10001869,0.596427083,1.859471838,2.044689265,0.381076863,2.160939236,1.390905893,0.085721489,2.458151568,0.031296697
ENSG00000152669.8,na,1.221538185,2.785129402,4.857106489,0.137974848,1.434538614,1.930917077,0.173786042,0.173859067,0.973126242,0.425626869,1.280510879,0.475750081,3.620319121
