gene_id,Groups,TCGA.AC.A2FM,TCGA.BH.A1EN,TCGA.BH.A1EO,TCGA.BH.A1ET,TCGA.BH.A1EV,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FG,TCGA.BH.A1FJ,TCGA.BH.A1FM,TCGA.BH.A1FN,TCGA.BH.A204,TCGA.BH.A1F0,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A208,TCGA.BH.A209
,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
,,Early,Early,Late,Late,Early,Early,Early,Late,Early,Early,Early,Late,Early,Late,Late,Early,Late
,,LumB,Her2,LumB,LumA,Her2,LumB,LumB,LumA,LumB,LumB,LumB,LumB,Basal,Basal,Basal,Her2,LumB
ENSG00000005102.11>MEOX1,na,3.412900962,0.229921217,1.178643444,1.713664549,0.026759739,1.372425375,0.028713201,0.866924937,0.313214241,0.136137826,0.011953105,0.32645365,3.225968755,1.000980533,0.264661486,0.46490758,1.683797477
ENSG00000196405.11>EVL,na,7.981868914,2.130486165,3.679379152,5.216545489,5.752073923,3.118326089,1.953910089,4.727902118,2.977378273,5.701106746,3.300859819,4.547157929,2.881412156,2.565876344,2.889882503,2.978570375,3.092536387
ENSG00000141750.6>STAC2,na,1.291662662,1.612189747,0.161317851,1.276336359,1.900505409,0.061718872,0.011628392,1.551285901,0.041351321,0.050206506,0.840329126,0.030492982,4.68476174,5.981065139,0.051062812,1.953885038,0.069688111
ENSG00000020633.17>RUNX3,na,0.808713545,0.767134093,1.734428328,1.658205204,1.587678903,1.432046667,1.356711582,0.875063802,0.608713656,1.065161681,1.410398973,0.446705533,3.217812869,2.611660218,3.971355285,3.035727137,3.410326245
ENSG00000154153.12>FAM134B,na,5.023984713,0.572502047,2.873291145,4.559984949,2.64160396,3.540191256,3.686683465,3.520069753,4.312016949,5.278669015,2.782782849,5.271336502,2.407228236,1.87690594,0.598127036,0.959781501,3.163767502
ENSG00000170035.14>UBE2E3,na,1.864860004,3.20227648,4.410371377,2.423425461,2.404824741,4.249678752,3.129521536,1.827076325,1.779578447,4.130871094,4.649880293,1.965554383,4.371812482,4.227185568,4.431947138,3.945944801,4.896955247
ENSG00000275301.1>AL928761.1,na,7.52999948,0,0,1.844987696,2.437809564,0,1.033127557,5.4045039,0,0.754355935,1.028178617,2.597123722,2.550481408,0.776414048,1.395358011,0,3.517573954
ENSG00000211664.2>IGLV2-18,na,0.234510298,0.250320405,0.511370284,2.28035903,0.581934163,0.050632674,0.101311573,0.689369439,0.103908866,0.110476617,0.08436035,0,2.219982579,2.077669877,1.938783772,2.72844241,7.322660068
ENSG00000103569.8>AQP9,na,0.071783607,0.519759665,2.368489076,0.104175528,0.640389864,1.372871579,2.244415661,0.612393274,0.175695919,1.921381316,2.866601887,0.393928782,3.258628555,2.958842922,1.874899513,0.513382039,1.595989369
ENSG00000105523.3>FAM83E,na,2.947651302,4.853106682,1.195137824,3.291495202,3.488000784,1.275565193,2.081640424,2.571983269,0.10001869,0.596427083,0.522414481,1.859471838,2.044689265,0.381076863,1.390905893,2.458151568,0.031296697
ENSG00000152669.8>CCNO,na,1.221538185,0.077025385,0.678963506,2.272287927,3.281254701,2.785129402,4.857106489,0.161183209,0.137974848,1.434538614,0.988063168,1.930917077,0.173786042,0.173859067,0.425626869,0.475750081,3.620319121
ENSG00000124491.14>F13A1,na,2.074750489,1.735453698,5.104473734,3.502637484,4.147906623,3.96249504,3.893845856,2.264161505,2.566117024,3.42174508,1.821895849,2.490013554,5.08973176,3.642159512,1.301966122,4.316357159,3.237950605
ENSG00000184979.9>USP18,na,1.044035304,2.766548471,2.04045897,1.689800624,2.23192028,2.028885916,3.446814757,3.069784781,3.721126209,1.458159819,3.955455722,1.2527921,4.40782394,3.831143583,3.16774132,1.675181568,4.256378084
ENSG00000011465.15>DCN,na,4.097771252,4.972292103,7.293868107,5.821411842,5.952362916,7.07110246,5.864773662,4.593667075,4.614835657,5.91901318,5.027437841,4.701308897,6.342980645,5.08694072,4.601539453,7.956822923,5.052455853
