,TCGA.BH.A1EV,TCGA.BH.A1F8,TCGA.BH.A1F0,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FH,TCGA.BH.A203,TCGA.BH.A1EU,TCGA.BH.A1FM,TCGA.BH.A1FR,TCGA.BH.A1EW,TCGA.BH.A208,TCGA.BH.A1FJ,TCGA.BH.A1EN,TCGA.BH.A1FN,TCGA.BH.A1FE,TCGA.BH.A1ET,TCGA.BH.A204,TCGA.BH.A1EO,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A1FB,TCGA.BH.A1FG,TCGA.BH.A209
cg07075307>NA,3.166798299,3.223709462,3.873250952,4.989784678,3.02002311,3.39930709,2.520822594,4.469513833,5.220987821,5.113134477,5.015667395,6.111216296,4.631787393,3.227380708,3.467340565,3.008062639,3.558879656,3.992785563,2.46565209,2.723033943,2.455931953,3.292192952,4.100813692,2.552678047,2.666795141
cg27413290>ZC3H3,4.491951681,7.077704581,4.501538869,5.649251887,5.836566835,5.790255933,3.492174732,4.022423239,4.855199198,6.827542431,6.172397098,4.993236904,4.41498395,4.703665237,5.011459027,4.865327787,4.874069194,4.026357175,4.462464665,4.988950525,3.685083155,4.066082818,7.177174902,5.759827068,4.319245694
cg04773333>NA,5.348794328,4.897586195,4.366033274,3.830782717,5.84803182,3.598246893,5.886926924,4.914500486,3.979129927,5.374644475,4.033220535,4.986642364,3.674480969,4.146555255,5.761401224,2.346501888,4.633621429,5.393459305,5.030097977,5.968541632,5.273478417,4.901414642,3.201360674,2.648438298,5.146701185
cg16413428>JAKMIP1,6.07587906,4.838521303,4.335193953,3.753315879,4.765229539,3.858866002,5.027111539,5.301249038,3.687879121,5.82664055,6.25983501,7.031819698,5.241868478,3.627692194,5.563036179,3.194165615,3.294591883,5.407199628,5.482201853,6.626022454,5.545842516,4.662581331,5.175351273,3.454510613,5.475503971
cg08435683>SLC23A2,4.213786654,3.183354203,3.39446739,2.113248762,3.250995909,2.233814739,3.181206372,4.173456867,3.262880427,2.301129408,3.111443689,1.459079331,2.14636775,2.997049406,4.580020555,4.548317116,3.843974296,2.237554215,4.195112971,5.146970622,2.85389791,2.68217682,2.527830034,2.76007706,3.920755078
cg11950105>FASN,5.684009689,5.974264603,5.516619813,5.563575584,4.053118183,4.858533858,5.898876724,6.269134043,7.263366087,3.384852182,5.997151504,6.334300853,4.489045253,6.538490995,3.748261258,4.841973977,4.950904695,4.694791306,3.253158248,5.754617731,4.662890478,6.142560746,6.090915795,6.099664666,6.609383656
cg01105362>C7orf50,6.745476357,7.178044572,6.929722362,7.770986816,6.018892567,6.789607523,7.297707209,5.129369736,7.854314251,7.113778508,6.516697996,5.712949798,5.290063158,7.08473908,5.182688344,6.773276068,5.999891276,7.1355937,5.286231188,5.66095161,5.037864767,7.494914,6.833527844,6.230062635,7.751758441
cg26507521>NA,6.235842174,5.410327386,3.811719423,5.371579985,5.295619219,5.602906853,2.462884343,2.661216795,3.542460298,5.689520868,5.493512865,6.340277008,2.481709382,3.232387699,5.486486533,2.783581711,2.745523811,5.996664125,5.698120623,5.642286058,2.835814071,5.869788049,2.71789146,5.534505542,6.030330282
cg01368488>NA,6.520759971,6.452618612,7.291171911,6.453282452,4.544023157,6.072661549,4.849307369,5.781507448,7.275691471,5.990404225,4.812812099,6.480758035,6.550170896,4.893441916,5.484594981,3.753454858,5.525144275,5.000755062,5.203042522,5.029679006,4.632172649,5.052477388,4.923710185,6.283639476,4.72601623
cg18099408>STAB1,7.081028879,5.92442992,6.926327019,7.386300633,5.630079425,6.04196977,6.995058119,6.019887566,7.519229435,7.438250742,6.06221215,7.247312572,6.717396939,5.893536552,5.107989147,5.90588833,7.842818938,7.550096321,4.753316596,5.350360712,5.59429207,5.920474319,7.906195311,7.083330546,6.78284245
